Unnamed: 0,Comment,Sentiment
8221,perfect timing horrible migraine get sleep fast thanks much,2
16730,possibly greatest film ever made greatest story lesson material possession never take prescendence common humanity dollar bill always looks big bedspread line,2
64126,think youd look cute beanie hat,2
181149,course modi others thieves thugs mahathugs,1
160316,hahaha diverting nehru brought modi reaped nevt befor india central institutions used political purpose jst befor election,2
86575,yes plz ban caricature modi,1
109360,shame modi bcoz tentamounts inferior changed naxal,1
72309,donbt like peel prawns also dont like going shopping running money crawling round car looking,0
60304,mouth sure,2
163691,gujarat proved land liars low level cheap politicians modi continues low level cheap speeches modi unfit blaming opposition role opposition democracy question govt instead answering failed modi blaming others,2
138208,mission shakti amit shah hits back rahul gandhi world theatre day jibe modi,1
176379,disgrace madame talk abused including modi office sacked guess isnâ havenâ fought everyone course idea politics appreciated anyone know politics,2
200237,kejriwal sidhu rahul gandhi become star pakistan shame modis diplomacy brings abhinandan back performed air surgical strikeunlike manmohan govt shame,1
224087,goa manohar parrikars son hints joining politics says âwill honour life continuing legacyâ india news,1
54106,free version supports habits basically nothing,0
215213,success congress govt kashmir many decades modi congis appeasing muslims able stop terrorism funded heavily indian govt state stops terrorism vanish,2
12401,want read tips instead watchcheck blog video aiming readingcheck supertutortvcomsuperseminar pop class w brooke learn fast brooke hour live sat crash course work common app essaypersonal statements w brooke save group essay class use code price adjustments previous purchases offer ends august pm pacific time sale valid essay course,2
158864,could get economic wisdom manmohan singh fearless political stature narendra modi one place sigh,2
132657,mumbai attack congress chup army ans dena chahti thi airforce ans dena chahti thilaikin congress chup aaj scientists kuch kia bhi problemtum gaddar nhi kia bhago desh gaddaro modi rok sako rok,1
101380,modi created brand natural leaderhe rose aftr guj genocide hardcore hindutv otherwise come failed prevent lives sabarmati ppl burnt alive satvik state projectd,2
115577,big failures modi governmentthe irony issues narendra modi campaigned ones government managed aggravate since coming power promises keep miles sleep,2
219561,modi rioters,1
192315,govt taken measures set chowkidar space modi odisha times india â¡,1
63041,sadly cannot listen sob,0
164570,must listen parshant bhushan modi govt destroying institutions,0
45950,monday good,2
123177,blame sent low orbit space,1
120870,would addressing nation soon important message,2
37443,hair messy ponytail day took looks really nice still messy,1
184775,explosive khulasa syed shuja kept extra pre programmed reserve make modi win varanasi watch video â¤µ,2
224243,hope modi wont take one hour announce,1
201304,modi govt wonâ act hindu terror lefthindu extremists dont exist modi govt says cpm,1
232787,dry comedy lol bjp awaits defeat mspriyanka vadra quash myth thats build around lol unmatched unparalleled decisive versatile peoples chowkidar shri narendra modi desirable favorite people bjp win big,2
162195,read closed airspace month flights domestic international indian overflights happy modi put fear god guys think isi plans terrorist attack india,2
123845,welcome modi need another seats reach mark,2
198739,lac aur job cong bola tha kya,1
177748,vajpayee sonias donkey dont know modi,1
167563,well seems bjp yuva youth congregation rally modi addressed youth clearly agreeing surely could confirm could confirm video genuine,2
175674,modi saw man whod make possible become capable bringing breads table could aspire better things without fritter energies away corruptionchoked system sucked way,2
30003,tres rude victor,1
150892,difference product ready btw dont official test yet product ready working official test result took credit dont agree tweet journalistic sham modi,2
66736,south philly passyunk square area closer two street,1
192951,haha funny modi,2
134543,people born filth lahores hira mandi whining modi made announcement national even dont know department space technology prime minister,1
143581,narendra modi making watch guys,1
149102,modi elite space power hawabazian zumlaibaziannow real spaceat last,2
202709,evident fact chors united modi,2
62587,new golf vi tsi fast,1
235189,inc member dont ask candidate modi,1
177495,incredible india shine prime minister modi excellent hardworking governmentnobody else could worksadmire dedication serve protect country dangerous cowards,2
180489,support narendra modi get support needs respect constituency giving deserving candidates winnable,2
24062,sorryyy milerz cant vote would love vote doesnt works im sad frustraded,0
63452,found mad men season delayed august,1
202112,care india personal reasons come think last thing needs modi bjp getting power influence friends especially israel already giving weapons point pakistan,1
121580,modi confess role rafale scam,1
202139,âest steve jobs,1
40706,way work gonna miss general hospital,0
46810,starting get sad,0
120767,modi address nation shortly security related,1
65491,weebo dying,0
178356,beginning many experts thought mayawati greater chance becoming prime minister modi seats modi maya experts still calling shots,2
21601,happy mothers day,2
142671,modi kept repeating indiaâ asat nation modi govt exactly balakot airstrike claimed pakistan even military strike scared chinaany country,2
26420,thank goodness starbucks iced coffeei feeling sluggish today think awful la weather,1
8570,haircut asmr probably favorite satisfying,2
20852,hello gorgeous girl nice new pic today,2
141358,indians alws stand modi jis sideour modi bharat ratnawe alws proud modi india,2
139122,modis knowledge aeronautics vedic era inter planetary planes india,1
227802,keralites educated people unlike dumbos north indiawe differentiate feku fake degree holder modi genuine person like rahul stop dreaming,0
15234,bon visionnage à vous pensez au petit pouce sous la vidéo essayez le sous la video ya une nouvelle animation ça aide la chaine la gamescom en direct ce soir sur chaine stream vous pouvez aussi aider la chaine par ici chaîne secondaire,1
71157,like gives different visual schedule thing would differently make scalable phones doesnt expand boundary box like resizing,2
34348,home school watching show,1
166211,journalist congressiwhy rahul gandhi bail national harald scam congressi dare ask question modi bhakt get congress intolerance,1
